model,best_epoch,best_step,checkpoint,split,metric,value
ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211,1381,516868,"scratch/ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211/checkpoints/epoch=1381-step=516868-val_loss=0.007176.ckpt",train,loss,0.006413272116333246
ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211,1381,516868,"scratch/ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211/checkpoints/epoch=1381-step=516868-val_loss=0.007176.ckpt",train,recon_loss,0.006283303257077932
ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211,1381,516868,"scratch/ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211/checkpoints/epoch=1381-step=516868-val_loss=0.007176.ckpt",train,spec_loss_grp,0.0
ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211,1381,516868,"scratch/ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211/checkpoints/epoch=1381-step=516868-val_loss=0.007176.ckpt",train,spec_loss_exp,0.0009908518986776471
ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211,1381,516868,"scratch/ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211/checkpoints/epoch=1381-step=516868-val_loss=0.007176.ckpt",train,dead_experts,0.002677558222785592
ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211,1381,516868,"scratch/ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211/checkpoints/epoch=1381-step=516868-val_loss=0.007176.ckpt",val,loss,0.007193090859800577
ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211,1381,516868,"scratch/ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211/checkpoints/epoch=1381-step=516868-val_loss=0.007176.ckpt",val,recon_loss,0.007036071270704269
ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211,1381,516868,"scratch/ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211/checkpoints/epoch=1381-step=516868-val_loss=0.007176.ckpt",val,spec_loss_grp,0.0
ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211,1381,516868,"scratch/ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211/checkpoints/epoch=1381-step=516868-val_loss=0.007176.ckpt",val,spec_loss_exp,0.0009672256419435143
ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211,1381,516868,"scratch/ukc2021-proc20251009001rs__aemose-4-4_e7x3_s192-128-96-64_sage128_g0-64-32-g1-32-16_b512_20260517124211/checkpoints/epoch=1381-step=516868-val_loss=0.007176.ckpt",val,dead_experts,0.0
